Location,Feature,Record count,Missing count,Missing percentage,Non-missing count,Coverage classification
Wollongong,WindGustDir,3040,48,1.5789,2992,Good coverage
Wollongong,WindGustSpeed,3040,48,1.5789,2992,Good coverage
Woomera,Sunshine,3009,1002,33.3001,2007,Partial missingness
Woomera,Evaporation,3009,439,14.5896,2570,Partial missingness
Woomera,Cloud9am,3009,374,12.4294,2635,Partial missingness
Woomera,Cloud3pm,3009,659,21.901,2350,Partial missingness
Woomera,Pressure9am,3009,11,0.3656,2998,Good coverage
Woomera,Pressure3pm,3009,14,0.4653,2995,Good coverage
Woomera,WindDir9am,3009,29,0.9638,2980,Good coverage
Woomera,WindGustDir,3009,39,1.2961,2970,Good coverage
Woomera,WindGustSpeed,3009,39,1.2961,2970,Good coverage
